TABLE_SCHEMA,TABLE_NAME,NON_UNIQUE,INDEX_NAME,COLUMN_NAME,SEQ_IN_INDEX,INDEX_TYPE
stk_data,asharedailybasic,0,PRIMARY,trade_date,1,BTREE
stk_data,asharedailybasic,0,PRIMARY,stock_code,2,BTREE
stk_data,asharedailybasic,1,code_ind,stock_code,1,BTREE
stk_data,asharestockbasic,0,PRIMARY,stock_code,1,BTREE
stk_data,asharetradecal,0,PRIMARY,cal_date,1,BTREE
fut_data,futbasic,0,PRIMARY,fut_code,1,BTREE
fut_data,futholdingcffex,0,PRIMARY,trade_date,1,BTREE
fut_data,futholdingcffex,0,PRIMARY,symbol,2,BTREE
fut_data,futholdingcffex,0,PRIMARY,broker,3,BTREE
fut_data,futholdingczce,0,PRIMARY,trade_date,1,BTREE
fut_data,futholdingczce,0,PRIMARY,symbol,2,BTREE
fut_data,futholdingczce,0,PRIMARY,broker,3,BTREE
fut_data,futholdingdce,0,PRIMARY,trade_date,1,BTREE
fut_data,futholdingdce,0,PRIMARY,symbol,2,BTREE
fut_data,futholdingdce,0,PRIMARY,broker,3,BTREE
fut_data,futholdingshfe,0,PRIMARY,trade_date,1,BTREE
fut_data,futholdingshfe,0,PRIMARY,symbol,2,BTREE
fut_data,futholdingshfe,0,PRIMARY,broker,3,BTREE
fut_data,futwsr,0,PRIMARY,trade_date,1,BTREE
fut_data,futwsr,0,PRIMARY,symbol,2,BTREE
fut_data,futwsr,0,PRIMARY,warehouse,3,BTREE
stk_data,ashareincome,0,PRIMARY,end_date,1,BTREE
stk_data,ashareincome,0,PRIMARY,stock_code,2,BTREE
stk_data,asharebalancesheet,0,PRIMARY,end_date,1,BTREE
stk_data,asharebalancesheet,0,PRIMARY,stock_code,2,BTREE
stk_data,asharecashflow,0,PRIMARY,end_date,1,BTREE
stk_data,asharecashflow,0,PRIMARY,stock_code,2,BTREE
stk_data,asharesw2021member,0,PRIMARY,index_code,1,BTREE
stk_data,asharesw2021member,0,PRIMARY,con_code,2,BTREE
stk_data,asharesw2021member,0,PRIMARY,in_date,3,BTREE
stk_data,asharesw2021basic,0,PRIMARY,index_code,1,BTREE
stk_data,ashareindexbasic,0,PRIMARY,index_code,1,BTREE
stk_data,asharesw2021daily,0,PRIMARY,trade_date,1,BTREE
stk_data,asharesw2021daily,0,PRIMARY,index_code,2,BTREE
stk_data,ashareindexweight,0,PRIMARY,index_code,1,BTREE
stk_data,ashareindexweight,0,PRIMARY,trade_date,2,BTREE
stk_data,ashareindexweight,0,PRIMARY,con_code,3,BTREE
fut_data,futdailyprices,0,PRIMARY,trade_date,1,BTREE
fut_data,futdailyprices,0,PRIMARY,fut_code,2,BTREE
stk_data,asharemonthlyprices,0,PRIMARY,trade_date,1,BTREE
stk_data,asharemonthlyprices,0,PRIMARY,stock_code,2,BTREE
stk_data,asharedailyprices,0,PRIMARY,trade_date,1,BTREE
stk_data,asharedailyprices,0,PRIMARY,stock_code,2,BTREE
stk_data,asharedailyprices,1,code_ind,stock_code,1,BTREE
stk_data,ashareindexdaily,0,PRIMARY,index_code,1,BTREE
stk_data,ashareindexdaily,0,PRIMARY,trade_date,2,BTREE
stk_data,ashareindexmonthly,0,PRIMARY,index_code,1,BTREE
stk_data,ashareindexmonthly,0,PRIMARY,trade_date,2,BTREE
